order_id,customer_id,status,order_amount,created_at,prepared_at
afd147df-6144-49c4-a88b-ebc8fe12b72a,46e278ef-3b84-4855-8713-2ab0b32fe995,Delivered,1398.69,2025-07-14T21:39:38,2025-07-14T22:14:38
984094b4-4504-40b9-ac94-2beae9d63d6f,37f4e76a-46aa-4c3d-a6aa-577727903cb9,Delivered,698.7,2026-02-10T14:47:15,2026-02-10T15:24:15
061ae36e-564e-482d-b28c-45f1e8b65cb5,cc09044a-74b3-41e3-ac95-3282e241b4c1,Delivered,1086.03,2025-03-21T05:29:01,2025-03-21T05:40:01
f4b46d55-9ec1-4403-a50a-adf58e64d67f,e4245811-496c-4a57-88e9-d91e03e5c0a3,Delivered,1485.79,2025-03-20T18:30:39,2025-03-20T19:07:39
b9d1e3c9-a19b-4a60-8cd0-f7eb4e2d4486,192c6dbc-5c9e-4368-9782-9092c8629d16,Delivered,1186.78,2025-04-21T08:56:05,2025-04-21T09:37:05
c48c66e7-b9b9-4fd2-bcef-94327ba02638,00ba5466-39c9-49d0-9763-76d70b606ed2,Delivered,1116.75,2025-06-18T17:37:09,2025-06-18T17:53:09
d1e1d090-9cc2-4aa1-994b-59dfdf9d9c00,452658f0-e63e-44c9-82fe-2d4696884f6f,Delivered,1216.31,2026-02-06T20:52:58,2026-02-06T21:10:58
3b0348a6-f7cb-4934-98df-68d327faae6c,801a4ffd-1659-4a0d-af39-111e23843b98,Delivered,906.03,2025-09-04T15:21:30,2025-09-04T15:59:30
3cbeff5a-cc8f-4935-90d8-f8d5d7c4a374,8bb6bd45-7505-47db-a857-a1e477d1976c,Delivered,687.25,2025-06-15T09:01:28,2025-06-15T09:13:28
4a2a8d78-15da-417a-92f0-952382479ffc,8d96045a-e587-4100-ac5a-55777d07c48e,Cancelled,210.37,2025-06-15T11:06:17,2025-06-15T11:38:17
7b351757-cfbf-439d-94dd-5737e521cb44,9bba0aa0-345b-443b-998e-4abb2fc67120,Delivered,719.46,2025-04-20T01:24:31,2025-04-20T01:58:31
11c5e541-3878-4d16-a02a-81b88010b3d9,38b3b839-025e-4a28-83d1-e177dc5c7bc6,Cancelled,436.95,2025-05-09T11:25:27,2025-05-09T11:43:27
e35b9965-af23-41b1-b04a-4045e48b6cc1,264fb5e1-79ef-4db7-9cfd-462bd05bb8b3,Delivered,1124.59,2025-09-30T05:13:50,2025-09-30T05:23:50
5aca74b2-1df6-4b06-975c-fd511d89a0fd,18662f5a-b512-4272-9a3a-eb677e80cac3,Delivered,727.66,2026-01-24T04:07:57,2026-01-24T04:43:57
b03802fa-be7d-45b0-a107-c871ca6fb94c,fc4d4241-1059-435b-91a2-6aaff0d74416,Delivered,101.46,2026-02-09T15:47:00,2026-02-09T16:17:00
89d8161b-4239-48a9-875b-d8598ba2ccf4,00a40983-38e9-417a-a0bf-70b9a0fa0b8c,Delivered,1271.96,2025-12-03T17:45:01,2025-12-03T18:13:01
e34e21d3-ff3c-428a-9750-43f0e4acd130,a054ba0c-e4b6-41eb-ba79-8e2e7ff9707d,Delivered,328.18,2025-07-14T15:12:58,2025-07-14T15:39:58
e0752524-bb85-49d9-94b5-bd69a2141d10,fdaf6549-13af-44c8-8047-151d74a41780,Delivered,962.23,2025-12-28T04:01:18,2025-12-28T04:40:18
29c6ecd9-b4b0-4558-a7df-b8f8927b2845,2c19142d-962b-446b-a554-454e7757a2c0,Delivered,510.35,2025-07-02T10:13:01,2025-07-02T10:33:01
756748bc-be49-47ee-8f0a-e13b13acf3f4,1fe7bfb5-cf7e-45b7-9c7d-523f285af18b,Delivered,251.19,2025-12-25T09:08:14,2025-12-25T09:30:14
623681d1-18d1-4828-9bac-4659bde28f3f,b7cf8be0-b862-4561-a62c-be6a30194df3,Delivered,1354.59,2025-12-22T07:23:54,2025-12-22T07:40:54
